pfix,n sims,c1A,s
0.00231,100000,0.01,1e-05
0.00227,100000,0.01,3.265042877183689e-05
0.00287,100000,0.01,0.00010660504989847922
0.00289,100000,0.01,0.00034807005884284094
0.0039,100000,0.01,0.0011364636663857243
0.00802,100000,0.01,0.0037106025991107652
0.0244,100000,0.01,0.012115276586285877
0.0759,100000,0.01,0.03955689752316298
0.21453,100000,0.01,0.12915496650148828
0.49748,100000,0.01,0.4216965034285822
0.00599,100000,0.039810717055349734,1.333521432163324e-05
0.00556,100000,0.039810717055349734,4.354004653656653e-05
0.00585,100000,0.039810717055349734,0.00014216011881646262
0.00601,100000,0.039810717055349734,0.00046415888336127773
0.00735,100000,0.039810717055349734,0.001515498656000273
0.0115,100000,0.039810717055349734,0.0049481680921551405
0.0312,100000,0.039810717055349734,0.01615598098439873
0.09644,100000,0.039810717055349734,0.05274997063702614
0.26558,100000,0.039810717055349734,0.17223091590007078
0.57207,100000,0.039810717055349734,0.5623413251903491
0.01452,100000,0.15848931924611134,1.778279410038923e-05
0.01437,100000,0.15848931924611134,5.8061585213899975e-05
0.01474,100000,0.15848931924611134,0.00018957356524063754
0.01486,100000,0.15848931924611134,0.0006189658188912603
0.01662,100000,0.15848931924611134,0.0020209499381910767
0.02051,100000,0.15848931924611134,0.006598488200835586
0.03867,100000,0.15848931924611134,0.021544346900318822
0.11087,100000,0.15848931924611134,0.07034321639046039
0.30069,100000,0.15848931924611134,0.2296736176338634
0.60478,100000,0.15848931924611134,0.7498942093324559
0.03298,100000,0.630957344480193,2.3713737056616554e-05
0.03384,100000,0.630957344480193,7.742636826811278e-05
0.0333,100000,0.630957344480193,0.0002528004122200023
0.03251,100000,0.630957344480193,0.0008254041852680181
0.03467,100000,0.630957344480193,0.002694980055906946
0.037,100000,0.630957344480193,0.008799225435691066
0.04841,100000,0.630957344480193,0.028729848333536628
0.09758,100000,0.630957344480193,0.09380418666398135
0.24875,100000,0.630957344480193,0.3062746915172412
0.50542,100000,0.630957344480193,1.0
