,well,BFP freq,lambda,total count,corrected total count,BFP,YFP,day,group
0,A1,0.00508252684794507,1.5467857079953324,66035,129775.19499964658,9004.5146484375,7555.1708984375,1,7-8
1,A3,0.0044821925107929655,1.6701811626058856,67158,138171.73930768465,8898.0048828125,7432.0615234375,1,7-8
2,A5,0.005480934111266869,1.5408160164825224,65315,128072.27863823809,8915.2724609375,7459.068359375,1,7-8
3,A7,0.005249853076175128,1.5636607802430402,62764,124130.60939635127,8950.4228515625,7440.912109375,1,7-8
4,A9,0.005582527663707683,1.5528663096997402,65031,128094.41120455344,8934.5830078125,7466.06640625,1,7-8
5,A11,0.004750823624683393,1.6346507635045617,66181,134392.0159891143,8918.2236328125,7455.50537109375,1,7-8
6,B1,0.004828270323961708,1.577207186540408,64323,127860.41362233346,8873.6484375,7436.2216796875,1,7-8
7,B3,0.005228284023489732,1.5470442239956428,65563,128860.12099829577,8876.5458984375,7434.9462890625,1,7-8
8,B5,0.004785460620744661,1.6204659135979655,63555,128383.87908140807,8915.9169921875,7488.556640625,1,7-8
9,B7,0.005428066534918075,1.5332415073335415,66514,130051.72743041645,8880.90234375,7464.2275390625,1,7-8
10,B9,0.004845077586567201,1.547944954350786,61958,121815.95034943843,8895.9267578125,7481.30908203125,1,7-8
11,B11,0.005542842852243803,1.4520941474055562,66403,125892.2008283682,8894.904296875,7473.32763671875,1,7-8
12,C1,0.004796012573138334,1.5638891232651988,60208,119085.70539895355,8862.2177734375,7442.60791015625,1,7-8
13,C3,0.005074231946954864,1.565301466123431,63588,125837.59073843452,8898.8974609375,7435.98779296875,1,7-8
14,C5,0.005531636567290072,1.3145777160216343,58954,105958.86444021533,8896.4189453125,7471.11474609375,1,7-8
15,C7,0.004367375847649687,1.5635750623556857,62269,123147.6746197346,8922.708984375,7442.75341796875,1,7-8
16,C9,0.0050492636006055774,1.3878919004458796,59423,109905.12133961475,8864.6962890625,7478.83935546875,1,7-8
17,C11,0.004896934051639413,1.6567717274755205,65098,133275.29360385213,8946.5185546875,7467.12353515625,1,7-8
18,D1,0.00438285548740185,1.4734411520074389,61793,118112.02256476173,8828.2470703125,7459.70166015625,1,7-8
19,D3,0.0045878697314261025,1.819613111757463,67832,147304.32637859738,8922.0087890625,7475.31591796875,1,7-8
20,D5,0.004626462170646,1.3722758404371054,57324,105381.68658858651,8875.744140625,7477.47314453125,1,7-8
21,D7,0.00457593846608227,1.8299863372342238,68464,149226.4606054016,8906.119140625,7491.6474609375,1,7-8
22,D9,0.004645471799669467,1.538147521079363,58120,113849.59019801153,8873.8447265625,7478.32861328125,1,7-8
23,D11,0.004875973741362719,1.6826810170664976,66456,137355.1309967262,8953.3720703125,7485.5849609375,1,7-8
24,E1,0.004471299718468464,1.4667839448862503,51195,97606.52279286731,8899.857421875,7461.0068359375,1,7-8
25,E3,0.00490559008992832,1.3292422748835124,58604,105938.46852661463,8924.7080078125,7468.7861328125,1,7-8
26,E5,0.004571150193254765,1.4159994085833276,56225,105127.12877691803,8916.09375,7466.06396484375,1,7-8
27,E7,0.004888491137128724,1.411032097148934,55987,104481.62807440247,8900.9658203125,7470.755859375,1,7-8
28,E9,0.004430254404039082,1.3445195218598995,56021,101877.11949819964,8885.4033203125,7474.95361328125,1,7-8
29,E11,0.004887630074648041,1.4544910673831335,58429,110876.17102595749,8900.13671875,7473.3955078125,1,7-8
