,well,BFP freq,lambda,total count,corrected total count,BFP,YFP,day,group
0,A1,0.0005573995576565652,2.1800568694098317,393663,967578.0062194964,8986.904296875,7691.25537109375,1,1-2
1,A3,0.0006571130705790195,1.8514723025323372,366071,804003.5698720677,8926.6357421875,7581.88427734375,1,1-2
2,A5,0.000601292819627058,2.456078122433404,483217,1298163.0196153927,9042.4091796875,7716.0732421875,1,1-2
3,A7,0.000603248026108687,2.7038161533676948,486637,1410188.4417692095,8950.599609375,7678.22705078125,1,1-2
4,A9,0.0005918338323169992,2.252624978280034,446669,1124375.364166065,8903.7373046875,7653.1083984375,1,1-2
5,A11,0.0006420106126859527,1.973940857232228,386186,885281.2950839769,8912.181640625,7611.04541015625,1,1-2
6,B1,0.0007159529111680573,1.856629411467094,381763,839998.7226831752,8906.0771484375,7624.8603515625,1,1-2
7,B3,0.0006273616110200578,2.073773878476909,384640,912348.0913965026,8921.212890625,7596.3662109375,1,1-2
8,B5,0.0006391990220923035,2.308399020989363,423281,1084969.4252634225,8906.6494140625,7631.58203125,1,1-2
9,B7,0.0006915652636254416,2.2029060407815537,422469,1046251.028295431,8918.7177734375,7605.2705078125,1,1-2
10,B9,0.0007169891372571842,1.8305147258688386,330977,721544.1880801129,8875.3603515625,7580.017578125,1,1-2
11,B11,0.0006945292411020447,1.7524852601277665,328920,697299.0940297275,8895.544921875,7553.95654296875,1,1-2
12,C1,0.000670809697444689,1.9671971494932032,395916,905473.7782238378,8914.1533203125,7608.81005859375,1,1-2
13,C3,0.0005479095388645442,2.4709930583252984,439830,1187130.473859147,8935.9765625,7624.22119140625,1,1-2
14,C5,0.0006593489154308588,2.4143022261385805,428207,1135355.6499470992,8907.27734375,7622.92138671875,1,1-2
15,C7,0.0006277168678157001,2.3780823024953226,451918,1184538.3441439392,8922.755859375,7621.9052734375,1,1-2
16,C9,0.000734542827106197,1.7949700997838431,334784,720650.7172837385,8870.55078125,7557.49169921875,1,1-2
17,C11,0.000591858159701348,1.8331468111320306,372642,813135.6691924244,8938.005859375,7564.5029296875,1,1-2
18,D1,0.0006392644757641125,1.950593523699707,401313,912554.3216734454,8872.916015625,7625.7041015625,1,1-2
19,D3,0.000587334087338843,2.0914808557720646,398393,950639.1766480987,8878.1025390625,7629.72216796875,1,1-2
20,D5,0.0005974917440194504,2.332966558124964,453779,1172381.0332870188,8919.1845703125,7655.1484375,1,1-2
21,D7,0.0006473415177532647,2.1943624173650673,437558,1080568.0830601251,8908.9609375,7636.36962890625,1,1-2
22,D9,0.0006323084306969133,1.849018085577631,356956,783303.5222835003,8921.1708984375,7588.32275390625,1,1-2
23,D11,0.0006459097144148169,1.6707359169852691,347772,715656.2549100801,8897.0849609375,7593.1474609375,1,1-2
24,E1,0.0006588220236987329,2.223080644949767,404570,1008597.6892139675,8933.017578125,7643.904296875,1,1-2
25,E3,0.0004802136476131159,2.4786619586018457,412796,1116834.2735480228,8909.50390625,7630.74609375,1,1-2
26,E5,0.0006829098854472978,2.3041586256969935,446559,1143070.0526220442,8962.3017578125,7658.580078125,1,1-2
27,E7,0.0005325128056529239,2.3785752609759987,447989,1174424.1569931693,8944.7109375,7655.17578125,1,1-2
28,E9,0.0007351438077908825,1.81588241894176,362151,785404.4449934267,8983.58203125,7584.2275390625,1,1-2
29,E11,0.0005474182193362313,2.169255482968241,378391,926715.7547084149,8976.47265625,7597.25537109375,1,1-2
30,F1,0.0005734569075432045,2.2171248227142604,417972,1039971.7175865907,8938.7587890625,7682.34375,1,1-2
31,F3,0.0006285062852950838,2.082485002395418,386158,918650.6173761188,8960.48828125,7626.47216796875,1,1-2
32,F5,0.0006097609756506867,2.2967127794903046,440237,1124177.8205276488,9019.806640625,7689.3837890625,1,1-2
33,F7,0.000616839993064136,2.2586820635074516,430301,1085315.7323482241,8891.9482421875,7636.8310546875,1,1-2
34,F9,0.000647544338069394,1.9337393105042289,354079,800446.1660570626,8966.6962890625,7608.53955078125,1,1-2
35,F11,0.0006054949207339523,1.8462233287572285,348248,763438.7379479472,8930.302734375,7607.9189453125,1,1-2
36,G1,0.000666235564402038,2.278785492949061,415350,1054481.4227341148,8900.921875,7656.8115234375,1,1-2
37,G3,0.0006354702621159241,2.179651767411993,401763,987354.3542387052,8944.521484375,7641.04248046875,1,1-2
38,G5,0.0006000388534994509,2.4687604268815195,452011,1219156.998967485,8990.84375,7679.4765625,1,1-2
39,G7,0.000700413722377802,2.2715508910931415,442286,1120229.1192716118,8951.2578125,7675.09326171875,1,1-2
40,G9,0.0006670292349270755,1.9768605704544668,358261,822094.9751668212,8910.392578125,7623.35205078125,1,1-2
41,G11,0.0006971105938731788,1.8152480346358812,361460,783728.6359938382,8952.951171875,7623.73388671875,1,1-2
42,H1,0.0006344315680802061,2.1603129614618166,397258,970036.1358470719,9007.6708984375,7670.99658203125,1,1-2
43,H3,0.0005822796163821597,2.0768557814904973,380678,903892.3878329552,8929.5048828125,7658.41650390625,1,1-2
44,H5,0.000578368944811105,2.3901451749782696,430049,1131547.8643147724,8878.0986328125,7685.1826171875,1,1-2
45,H7,0.0005639526091964155,2.0716411791373095,415443,984700.2379052682,8944.8203125,7677.66748046875,1,1-2
46,H9,0.0006258114607120884,1.9348004848204008,342194,773864.1875510934,8930.32421875,7649.58447265625,1,1-2
47,H11,0.0006093483109999644,1.854342188693956,338333,743837.2626654345,8959.638671875,7651.98291015625,1,1-2
