,well,BFP freq,lambda,total count,corrected total count,BFP,YFP,day,group
0,A1,0.013196773942088172,1.754504135890564,29593,62781.86402533885,9182.44921875,7443.9248046875,1,9-10
1,A3,0.012888027495752836,1.5949017300563126,27424,54874.10271222807,9042.7216796875,7387.46240234375,1,9-10
2,A5,0.012491101445905994,1.8332816888646968,30169,65834.40717649634,9168.0009765625,7485.85888671875,1,9-10
3,A7,0.013245193965449119,1.6027818656392478,29581,59363.974788447544,9117.0205078125,7432.95263671875,1,9-10
4,A9,0.012862741081633716,1.8459869379557077,31080,68128.71605407122,9141.46875,7487.111328125,1,9-10
5,A11,0.01287715862197732,1.6198530580457775,29607,59793.85439866791,9112.673828125,7435.06396484375,1,9-10
6,B1,0.011904650291921419,1.7399293874357369,29399,62042.71528451288,9065.259765625,7431.73828125,1,9-10
7,B3,0.012654090795125554,1.7591035678941054,27977,59452.03014030315,9048.4853515625,7424.18798828125,1,9-10
8,B5,0.013476715655273532,1.5487602469362323,29165,57359.03385090245,9067.94921875,7447.51953125,1,9-10
9,B7,0.01137142571667179,1.8791536354209235,26971,59818.019148492225,9050.4609375,7432.7236328125,1,9-10
10,B9,0.012849467582544334,1.6814088327212815,30235,62462.366468006185,9041.9677734375,7459.87548828125,1,9-10
11,B11,0.011213135349643234,1.668639959505044,27580,56711.36803196028,9058.99609375,7435.05322265625,1,9-10
12,C1,0.012272799097025262,1.5931441184481077,28186,56361.918148914556,9023.8916015625,7432.3154296875,1,9-10
13,C3,0.014185322179869383,0.6934140309772342,10628,14735.277052218415,8963.2509765625,7319.44091796875,1,9-10
14,C5,0.011340404133435825,1.662348637385515,28507,58482.240554994576,9019.568359375,7443.70751953125,1,9-10
15,C7,0.013214737950223616,1.679054876198435,27209,56162.53695245597,8991.3623046875,7477.91650390625,1,9-10
16,C9,0.012673985617460588,1.7085863170395632,28708,59899.12495283884,9002.1416015625,7444.83837890625,1,9-10
17,C11,0.013964092402417264,1.456275152400044,26744,50784.68066764452,9000.6396484375,7477.26123046875,1,9-10
18,D1,0.012124943236121422,1.7060021746462377,29542,61581.27994305988,8996.2373046875,7439.31396484375,1,9-10
19,D3,0.012270788104343695,1.499308028616347,24542,47373.87499563849,9006.7490234375,7415.533203125,1,9-10
20,D5,0.011474971283563363,1.9160852050718187,30235,67931.06823739786,9009.4296875,7450.71484375,1,9-10
21,D7,0.012170680649654785,1.54452478640387,25639,50344.18861509494,8959.912109375,7433.6708984375,1,9-10
22,D9,0.011831611453074662,1.8558283950465015,30145,66309.70493315285,9001.4765625,7452.171875,1,9-10
23,D11,0.013843729520790314,1.3457354878524022,26288,47828.84639698743,9038.0830078125,7466.42138671875,1,9-10
24,E1,0.01051381753368621,1.5398045170623,24019,47079.49102992236,8974.5498046875,7433.96044921875,1,9-10
25,E3,0.011932003141448929,1.4105601477209704,24460,45638.36089376867,8966.4580078125,7434.787109375,1,9-10
26,E5,0.011287177943327432,1.488367588021311,26724,51371.86403586024,8945.1591796875,7447.96337890625,1,9-10
27,E7,0.010571378823510084,1.7450207649009137,26145,55277.26472646379,9008.494140625,7443.1279296875,1,9-10
28,E9,0.010999714191400703,1.6909300903761757,26867,55698.04014940962,9019.37109375,7490.79296875,1,9-10
29,E11,0.011393654983101985,1.5752567792526246,26661,52957.763358475226,9013.8935546875,7447.005859375,1,9-10
30,F1,0.010544375847284048,1.5606535077192556,25847,51060.948679395275,8961.41015625,7461.27490234375,1,9-10
31,F3,0.013230988259967722,1.3786946221801557,23714,43703.61948579452,8987.9921875,7459.57666015625,1,9-10
32,F5,0.010407194489073757,1.5483071792963998,25763,50659.666816834026,8971.609375,7471.11328125,1,9-10
33,F7,0.01172532516517659,1.4440482914106942,23891,45155.010059710665,8987.59765625,7472.45947265625,1,9-10
34,F9,0.010356536493369619,1.7745931707370939,27726,59248.01408576729,9008.4384765625,7479.71630859375,1,9-10
35,F11,0.012843281436443353,1.390453502417397,24611,45564.23002360704,9006.666015625,7484.8203125,1,9-10
36,G1,0.011494400640794943,1.482251060710954,27130,52031.07216862949,9010.71484375,7479.3515625,1,9-10
37,G3,0.012535202387145035,1.2705930598308044,23946,42296.88050373827,9019.1904296875,7472.162109375,1,9-10
38,G5,0.011386663958243812,1.358904040338882,26520,48499.775076350474,9023.1435546875,7502.04638671875,1,9-10
39,G7,0.011994689238758726,1.342225416439966,23868,43366.2620061308,9016.1181640625,7490.4482421875,1,9-10
40,G9,0.012043334158952439,1.4649734160896335,26732,50931.020046304926,9017.3544921875,7485.0205078125,1,9-10
41,G11,0.01248922514025011,1.4747226701387122,23748,45414.4575846356,9002.76953125,7482.9873046875,1,9-10
42,H1,0.011072272258859116,1.5338982829426837,27385,53557.87316064413,9089.865234375,7488.779296875,1,9-10
43,H3,0.011799653712763189,1.1291995193981479,20911,34893.468260083115,9080.9296875,7482.9609375,1,9-10
44,H5,0.01237296837445799,1.442610009977395,27455,51862.49292168014,9080.4296875,7523.9111328125,1,9-10
45,H7,0.01353444764674197,1.2565241014401087,22272,39120.68201036043,9049.921875,7506.76708984375,1,9-10
46,H9,0.010883759198439522,1.7446204138795973,27599,58342.9513500544,9036.3798828125,7505.82373046875,1,9-10
47,H11,0.01227635558415267,1.2282946533543364,22257,38656.42547253582,9047.90234375,7497.15234375,1,9-10
