,well,BFP freq,lambda,total count,corrected total count,BFP,YFP,day,group
0,A1,0.0029347705353236922,1.720880543255742,140498,294462.05067452625,8984.15625,7610.5966796875,1,5-6
1,A3,0.002940147706032457,1.6867177734048708,134579,278566.78958282,8873.3427734375,7516.0322265625,1,5-6
2,A5,0.0030736314232635746,1.7240648431934988,139609,292937.3406239758,8930.6640625,7525.52392578125,1,5-6
3,A7,0.0032892694567308043,1.887523846908328,152043,338204.64741669607,8991.3955078125,7627.2255859375,1,5-6
4,A9,0.003299257517379789,1.8784602120054206,148912,330186.0269439976,8899.1416015625,7529.544921875,1,5-6
5,A11,0.003525771638825997,1.7637094491440268,145692,310114.4011756493,8885.830078125,7537.2412109375,1,5-6
6,B1,0.0026457050068450826,1.6437338236095194,119727,243943.04659871635,8875.3427734375,7482.53369140625,1,5-6
7,B3,0.0028611850919236523,1.5054947204027818,125089,242028.8401852323,8925.0791015625,7496.19775390625,1,5-6
8,B5,0.002712461021363732,1.5225961168456223,119513,232741.35002551292,8892.4970703125,7505.70751953125,1,5-6
9,B7,0.0029430081303995787,1.647075090640474,134575,274533.751394898,8897.2578125,7510.93505859375,1,5-6
10,B9,0.002875090108350889,1.6490083511750249,139698,285187.7992639015,8895.99609375,7520.84130859375,1,5-6
11,B11,0.002679549287916561,1.7014845783462234,137318,285773.0386813669,8908.0966796875,7521.90185546875,1,5-6
12,C1,0.0023426254871545976,1.5190646922635425,116098,225789.41039065688,8865.3662109375,7469.49609375,1,5-6
13,C3,0.0030368552039948334,1.6348376159712141,128576,261113.92743890395,8934.0888671875,7490.8232421875,1,5-6
14,C5,0.002412490903942763,1.4302518148928216,116834,219653.95731001726,8895.341796875,7488.10400390625,1,5-6
15,C7,0.0027949360287551454,1.673363436202634,142245,292998.48452343745,8897.8291015625,7513.63427734375,1,5-6
16,C9,0.002467985440054057,1.6638213525977747,133124,273252.30539927876,8878.810546875,7502.09814453125,1,5-6
17,C11,0.0028549568193962063,1.7427298070508463,140788,297415.64957288065,8901.0888671875,7506.45703125,1,5-6
18,D1,0.0026934079016099,1.549857796844939,120644,237369.378561441,8883.7880859375,7490.5458984375,1,5-6
19,D3,0.0026048743545666873,1.5678923789944645,128947,255427.62314578675,8886.66015625,7489.337890625,1,5-6
20,D5,0.0027473266493115455,1.4751860590283692,119562,228684.64396643912,8890.9287109375,7496.6826171875,1,5-6
21,D7,0.002447879372659555,1.8608531343361054,142701,314456.06014622276,8941.5751953125,7513.0625,1,5-6
22,D9,0.002532579245181389,1.8250081684491735,148246,322550.580948621,8931.88671875,7530.412109375,1,5-6
23,D11,0.002430456851326469,1.7674446331001152,146637,312545.8634287828,8901.46875,7518.3046875,1,5-6
24,E1,0.002821172445985151,1.4546176811747609,117354,222704.3580157372,8849.509765625,7494.7412109375,1,5-6
25,E3,0.0027470669170519472,1.6325880352353455,126401,256483.59390138698,8899.212890625,7496.8623046875,1,5-6
26,E5,0.0027160759965026626,1.5000675759110997,117698,227260.11222194802,8882.0400390625,7498.8232421875,1,5-6
27,E7,0.0030809930857228496,1.5971663704388281,140537,281444.97331894963,8901.3974609375,7521.01806640625,1,5-6
28,E9,0.002705333053585814,1.65115843747277,128924,263401.6451904476,8903.8017578125,7512.2626953125,1,5-6
29,E11,0.002833539644570683,1.8491436044207623,139634,306426.1829152667,8911.451171875,7520.3701171875,1,5-6
30,F1,0.0026836986358947375,1.5515776771587957,127450,250922.38555870173,8892.810546875,7514.42041015625,1,5-6
31,F3,0.0025956697884950727,1.6150996858756224,130410,262910.35431427375,8887.8623046875,7521.69189453125,1,5-6
32,F5,0.002623891437009503,1.5533452001382464,125029,246319.39120957252,8884.033203125,7514.93505859375,1,5-6
33,F7,0.0024674955935442195,1.8041794436948504,142181,307066.0116970333,8881.3896484375,7536.33154296875,1,5-6
34,F9,0.0027534280402858355,1.8218217562482055,142233,309116.91466120543,8873.9755859375,7535.5517578125,1,5-6
35,F11,0.0024056658462197067,1.8097933311266767,141686,306610.88974019536,8887.6455078125,7530.69091796875,1,5-6
36,G1,0.002767307193025624,1.51219447183198,118916,230669.64168476258,8928.38671875,7539.94775390625,1,5-6
37,G3,0.0028514454685894908,1.57481728797002,124241,246744.10044418485,8911.73046875,7550.59130859375,1,5-6
38,G5,0.0026394819772081737,1.5105305073203141,119258,231187.35380751317,8875.95703125,7573.92138671875,1,5-6
39,G7,0.0025659682771372143,1.7977047678594125,136146,293352.59708033636,8919.943359375,7554.99755859375,1,5-6
40,G9,0.002660998787205717,1.801668808399805,136871,295333.0331978551,8878.732421875,7553.70361328125,1,5-6
41,G11,0.0026455747532904634,1.6427314573393954,136888,278805.3802133464,8913.0244140625,7557.03466796875,1,5-6
42,H1,0.0029158672908290045,1.3935577934379753,116057,215123.89016513465,8918.78125,7553.61328125,1,5-6
43,H3,0.002818444463105427,1.6639024298562746,132021,270996.3422883078,8880.3037109375,7569.26806640625,1,5-6
44,H5,0.002756707602794294,1.4002385283830112,116952,217344.37715427708,8897.765625,7572.8154296875,1,5-6
45,H7,0.0028177611039981107,1.8167740359058118,141539,307056.13525883516,8881.9921875,7586.54296875,1,5-6
46,H9,0.0026918851496668863,1.667159570846395,132795,272911.3498016048,8909.5341796875,7568.4111328125,1,5-6
47,H11,0.002987277588593987,1.6711744237469761,138921,285922.0302595733,8900.251953125,7582.685546875,1,5-6
