,well,BFP freq,lambda,total count,corrected total count,BFP,YFP,day,group
0,A1,0.0496468387405675,1.3677700944396025,26032,47772.11838848983,9293.3759765625,7449.71826171875,1,11-12
1,A3,0.05342692019571538,1.3720551107726986,26432,48587.14547209681,9233.87890625,7355.416015625,1,11-12
2,A5,0.051411086598974184,1.4554393205053389,28001,53154.61336926304,9245.71875,7376.4208984375,1,11-12
3,A7,0.052344430398597194,1.4153279683640836,26922,50324.58030911975,9238.7353515625,7379.3291015625,1,11-12
4,A9,0.0504998640845838,1.4692446396557213,28412,54220.2062746906,9230.9794921875,7389.24755859375,1,11-12
5,A11,0.05296365928896638,1.4088172104666927,28888,53864.0117737242,9234.2021484375,7397.234375,1,11-12
6,B1,0.05037124390457089,1.3446332984433627,26272,47779.13305529205,9231.6953125,7365.478515625,1,11-12
7,B3,0.05288449502248699,1.293259068392904,26190,46677.63716354791,9230.5390625,7374.85107421875,1,11-12
8,B5,0.05226138884453291,1.263596919444407,24427,43026.78112885329,9235.763671875,7373.6171875,1,11-12
9,B7,0.05098019948872379,1.2735501913392349,23863,42199.75505370931,9217.29296875,7386.603515625,1,11-12
10,B9,0.052894864463438204,1.3039989942227501,24431,43727.598853163705,9209.2353515625,7385.6328125,1,11-12
11,B11,0.05107441022770928,1.3190618053216434,26223,47214.16710771533,9238.09765625,7392.01416015625,1,11-12
12,C1,0.05333991710815149,1.5527978953114872,29158,57432.31518706977,9201.0478515625,7366.1455078125,1,11-12
13,C3,0.05489474739307284,1.3064359233006486,26332,47175.382758644926,9216.751953125,7382.6923828125,1,11-12
14,C5,0.0553495400674096,1.5659720459371471,28862,57130.856692724825,9217.4296875,7365.0185546875,1,11-12
15,C7,0.05377341306278999,1.3060438453610135,26414,47314.97877841681,9212.1005859375,7380.47802734375,1,11-12
16,C9,0.054881932724578364,1.5631320421566328,29280,57896.63153160133,9198.0126953125,7368.73828125,1,11-12
17,C11,0.054203753880640596,1.320286165965857,24897,44848.30122519375,9199.6025390625,7384.365234375,1,11-12
18,D1,0.053951378310801205,1.40506580226092,27652,51484.69685409393,9204.728515625,7372.1123046875,1,11-12
19,D3,0.05388011548690871,1.3249444653256652,26874,48498.25250341166,9199.63671875,7392.14697265625,1,11-12
20,D5,0.05482524395308892,1.3954570629517495,27271,50586.8809303431,9191.025390625,7376.78369140625,1,11-12
21,D7,0.055384230582613596,1.2265914307467596,24372,42300.95903739722,9221.595703125,7396.61376953125,1,11-12
22,D9,0.052445868964904885,1.3870900506298498,26944,49818.46434453243,9198.818359375,7381.75830078125,1,11-12
23,D11,0.056257114029629025,1.2864636677461905,24714,43928.82266704581,9215.45703125,7400.486328125,1,11-12
24,E1,0.06109908211530326,1.401576934314167,28353,52718.69703245344,9192.396484375,7381.98046875,1,11-12
25,E3,0.05193593518901267,1.3118450315158428,25627,46010.259398408336,9179.0673828125,7391.11328125,1,11-12
26,E5,0.059917841085125344,1.3412858327813086,26490,48112.530961463046,9193.587890625,7378.85009765625,1,11-12
27,E7,0.05162104304728499,1.389031644890419,26895,49765.32959905666,9179.9541015625,7393.3193359375,1,11-12
28,E9,0.05997907361207149,1.3835498991955422,26911,49689.1341960728,9193.4423828125,7387.978515625,1,11-12
29,E11,0.054103241329394945,1.3026823725387453,25756,46075.20927671248,9204.9228515625,7421.576171875,1,11-12
30,F1,0.04990120205362515,1.3233558317889926,26524,47836.76748023938,9153.5927734375,7387.20166015625,1,11-12
31,F3,0.05437577432433774,1.2721855539901985,26072,46081.23806268818,9181.6572265625,7401.53662109375,1,11-12
32,F5,0.05174263565543909,1.1147683901418297,23188,38465.64333603431,9166.4794921875,7378.47802734375,1,11-12
33,F7,0.05353553750101197,1.3330959943163694,26351,47706.76397924659,9169.9873046875,7402.04150390625,1,11-12
34,F9,0.05048130780554224,1.362194376958401,25422,46551.44631201181,9179.623046875,7394.43701171875,1,11-12
35,F11,0.05246435390666169,1.3587843694206687,26414,48303.667229442064,9173.3154296875,7409.75439453125,1,11-12
36,G1,0.04924440869469887,1.2323002684431499,25975,45186.26247696954,9154.1875,7393.9853515625,1,11-12
37,G3,0.04981833124964887,1.1356294435655243,23743,39723.09825200222,9154.6044921875,7393.734375,1,11-12
38,G5,0.04772649060554051,1.2924041305464151,25575,45566.14527135143,9165.53125,7405.63330078125,1,11-12
39,G7,0.049906675062847614,1.088719112121333,22691,37241.31979600455,9140.4716796875,7385.7861328125,1,11-12
40,G9,0.04779209364386122,1.2584558906689043,25204,44304.76837016487,9151.4091796875,7404.5,1,11-12
41,G11,0.05045536604075918,1.1428522994352173,23387,39242.70249360071,9137.0810546875,7388.2880859375,1,11-12
42,H1,0.050071650270116154,1.2350082999207541,26337,45865.61939895041,9141.037109375,7401.18310546875,1,11-12
43,H3,0.050846172904662944,1.174666476738212,23553,40034.43798475607,9147.6240234375,7414.7978515625,1,11-12
44,H5,0.04683375973086489,1.235142235486514,25514,44434.75134048295,9156.453125,7412.556640625,1,11-12
45,H7,0.04966209178987404,1.0988854171406712,22723,37449.84638922844,9143.0302734375,7405.2265625,1,11-12
46,H9,0.04748484731915234,1.2913717845905812,24943,44422.00325411978,9140.623046875,7403.58251953125,1,11-12
47,H11,0.048303643430529924,1.052889877896006,22531,36436.30711446556,9145.8505859375,7404.5732421875,1,11-12
