,well,BFP freq,lambda,total count,corrected total count,BFP,YFP,day
0,A7,0.0003298798853000416,1.386751822652164,137769,254696.38675558052,8869.8759765625,7610.70263671875,0
1,B7,0.00033041325809402765,1.8670999299572453,514064,1135292.4683804074,8985.4638671875,7633.9130859375,0
2,C7,0.0007950166461315091,2.4512495785538593,440271,1180999.5189737624,9039.671875,7681.197265625,0
3,D7,0.001042947646181437,2.187671746720529,294509,725695.8542021377,9060.3583984375,7751.49560546875,0
4,E7,0.0011489074842761194,1.6555111599088819,206911,423412.9782087736,9100.5625,7569.3779296875,0
5,F7,0.0018409254299943674,1.9732507635165941,222965,510996.5490577072,9160.6865234375,7574.85009765625,0
6,G7,0.007146797953199693,1.6885612305256958,135175,279989.1062474346,9163.029296875,7570.1953125,0
7,H7,0.05779551073146259,1.5331282043379715,137657,269142.8270462858,9226.2783203125,7518.48486328125,0
