,time point,rep,zeta
0,1,1,0.0028894920380976128
1,1,2,0.0028894920380976128
2,1,3,0.0028894920380976128
3,2,1,0.003584100574561721
4,2,2,0.004471019808454422
5,2,3,0.0003659444294494594
6,3,1,0.00010001486641910219
7,3,2,0.007911043966652138
8,3,3,0.0018050728096064713
9,4,1,0.0038438914205598763
10,4,2,0.0005674378935947474
11,4,3,0.0030427410293502816
