,time point,rep,zeta
0,1,1,0.001933814
1,1,2,0.001933814
2,1,3,0.001933814
3,2,1,0.00191931
4,2,2,0.002427492
5,2,3,0.000100005
6,3,1,0.000100007
7,3,2,0.010416827
8,3,3,0.002916165
9,4,1,0.004793207
10,4,2,0.003512159
11,4,3,0.002978967
