,Fitness,Day,anc1,anc2,anc3,f0,measurement var,Anc,Anc2,anc num
104,0.021689632373183443,5,2,6,0,0.06265849799999999,0.002038975437917515,0,26,0
105,-0.17843912537976347,5,3,7,0,0.09690572800000001,0.001457015272660895,0,37,0
106,-0.19044189903543796,5,3,8,0,0.079775051,0.0019791792045777477,0,38,0
107,0.040524307470510834,5,3,9,0,0.066996457,0.002080161446463131,0,39,0
120,0.0015948147668001234,6,1,1,0,0.084527714,0.001683217012440381,0,11,0
121,0.11851498954657469,6,4,10,0,0.073587095,0.001534012992635877,0,410,0
122,0.05347290421668438,6,4,11,0,0.082571433,0.0014779616083806222,0,411,0
123,0.19957835074317298,6,4,12,0,0.10074975900000001,0.001283327362588037,0,412,0
124,-0.044133929481386946,6,1,2,0,0.089064444,0.0015553579040936247,0,12,0
125,-0.15156674325116493,6,1,3,0,0.091948535,0.001587302151324222,0,13,0
126,-0.045318235479218316,6,2,4,0,0.056062426,0.0023600270610004675,0,24,0
127,0.04294492784302806,6,2,5,0,0.056650125999999995,0.002339386413363318,0,25,0
128,0.12096308984996273,6,2,6,0,0.063944531,0.0018404931904729808,0,26,0
129,0.03360118737454476,6,3,7,0,0.08237344099999999,0.0014740166602582095,0,37,0
130,0.09036957175430693,6,3,8,0,0.066866559,0.0017564510423009748,0,38,0
131,0.11260739918380347,6,3,9,0,0.06957443099999999,0.0018507971319110935,0,39,0
144,-0.16030134558738673,7,1,1,0,0.08465120699999999,0.0017482956766011071,0,11,0
145,0.1394241147845432,7,4,10,0,0.082086064,0.001415402853071426,0,410,0
146,0.08149819595606855,7,4,11,0,0.086713659,0.0013952058894405469,0,411,0
147,-0.0186163115003799,7,4,12,0,0.12032636699999999,0.0012062577803310089,0,412,0
148,-0.08446928497512873,7,1,2,0,0.085548115,0.0019477533126246577,0,12,0
149,-0.17460866732848412,7,1,3,0,0.08005214299999999,0.0019920977202237747,0,13,0
150,0.02084547938704784,7,2,4,0,0.053711902,0.002324160952860935,0,24,0
151,0.022952957795354667,7,2,5,0,0.058989319000000005,0.0023883003183615336,0,25,0
152,0.09729762567698197,7,2,6,0,0.071578197,0.0016790357927938355,0,26,0
153,-0.06262576185768554,7,3,7,0,0.08494919199999999,0.0014561707394883743,0,37,0
154,0.1592180877233904,7,3,8,0,0.072730753,0.0017175791675936734,0,38,0
155,0.012748413508546719,7,3,9,0,0.077226756,0.0017183886644395975,0,39,0
168,0.28837870542044675,8,1,1,1,0.073028898,0.001667918015410674,11,11,6
169,0.3434866594218611,8,4,10,1,0.093222224,0.0011437393518137018,410,410,15
170,0.18357316162956838,8,4,11,1,0.093389005,0.0013300202725233404,411,411,16
171,0.3262400027791026,8,4,12,1,0.118369755,0.0010575247639026254,412,412,17
172,0.09665621458793261,8,1,2,1,0.07916729,0.0018381590007670997,12,12,7
173,0.16692634866697453,8,1,3,1,0.06810005400000001,0.0019951593255718653,13,13,8
174,0.6010715268870959,8,2,4,1,0.054781324000000006,0.0018407052818745118,24,24,9
175,0.4495888678640827,8,2,5,1,0.0602764,0.0020058032851218584,25,25,10
176,0.1862514952771952,8,2,6,1,0.078319789,0.0015366923182754282,26,26,11
177,0.2743679713905012,8,3,7,1,0.080205955,0.0013178930140714013,37,37,12
178,0.18533613713873365,8,3,8,1,0.084226337,0.001540000383886183,38,38,13
179,0.2908422998077618,8,3,9,1,0.078140154,0.001229798971447405,39,39,14
180,0.2517927693827433,8,1,1,2,0.073028898,0.0016737508246393732,11,11,6
181,0.3419378636166277,8,4,10,2,0.093222224,0.0011164138255691791,410,410,15
182,0.2919117051044291,8,4,11,2,0.093389005,0.0012027068806405288,411,411,16
183,0.5846176815547701,8,4,12,2,0.118369755,0.0009441346334696998,412,412,17
184,-0.0031549476934902287,8,1,2,2,0.07916729,0.002153175692717622,12,12,7
185,0.11690470536454756,8,1,3,2,0.06810005400000001,0.0018971622726515014,13,13,8
186,0.29031314038816136,8,2,4,2,0.054781324000000006,0.0020696097563431036,24,24,9
187,0.426945539352106,8,2,5,2,0.0602764,0.0020493799430607914,25,25,10
188,0.23735869873227866,8,2,6,2,0.078319789,0.0014092457264626196,26,26,11
189,0.25193069376759336,8,3,7,2,0.080205955,0.0012518912715508684,37,37,12
190,0.24344606216426978,8,3,8,2,0.084226337,0.0014271677519992108,38,38,13
191,0.2514664119266041,8,3,9,2,0.078140154,0.001333494721972959,39,39,14
192,-0.22111672813030614,9,1,1,1,0.095117816,0.001464971540682627,0,11,0
193,-0.1860970955268777,9,4,10,1,0.126592982,0.001049447348283453,0,410,0
194,-0.21964487904598595,9,4,11,1,0.110134627,0.0013267381759172448,0,411,0
195,-0.2887839279950566,9,4,12,1,0.156867913,0.0010188242379259838,0,412,0
196,-0.1876680257899408,9,1,2,1,0.086506322,0.0015408343800492237,0,12,0
197,-0.2090813297920331,9,1,3,1,0.07948821,0.0018158328185451473,0,13,0
198,-0.25819635693993037,9,2,4,1,0.09560894699999999,0.0014969999920494822,0,24,0
199,-0.25124948010934345,9,2,5,1,0.091367053,0.0014408502611995269,0,25,0
200,-0.1887511987507433,9,2,6,1,0.092864826,0.001516452771173265,0,26,0
201,-0.19461477488170686,9,3,7,1,0.10292083199999999,0.0013003194514523584,0,37,0
202,-0.04018680886790227,9,3,8,1,0.099667415,0.0012915653693720123,0,38,0
203,-0.1814698367468046,9,3,9,1,0.10183071,0.0012967506807680595,0,39,0
204,-0.0804873900941292,9,1,1,2,0.092015155,0.0013898357371427503,0,11,0
205,-0.12215191917090529,9,4,10,2,0.126421835,0.0011325964249581082,0,410,0
206,0.0010124209202431178,9,4,11,2,0.12120928,0.0011768186737119474,0,411,0
207,0.207131096237263,9,4,12,2,0.19413822600000002,0.0007820147349868604,0,412,0
208,-0.30092344557981043,9,1,2,2,0.07893760000000001,0.0020887633978351715,0,12,0
209,-0.17045833123958776,9,1,3,2,0.07590426900000001,0.001719646844611336,0,13,0
210,-0.355315744688081,9,2,4,2,0.0719073,0.002104374079371689,0,24,0
211,-0.30114922781986,9,2,5,2,0.089504537,0.001482516334142234,0,25,0
212,-0.20077604851471076,9,2,6,2,0.097260655,0.0015126224752506781,0,26,0
213,0.20826699762467293,9,3,7,2,0.100867619,0.0010372568921738756,0,37,0
214,-0.2535442901588487,9,3,8,2,0.10500449699999999,0.0013443479355918645,0,38,0
215,-0.12553703032455088,9,3,9,2,0.098285386,0.0014104604704345404,0,39,0
216,0.012966842824412073,10,1,1,1,0.077715058,0.001766176310918236,0,11,0
217,-0.13067038760078287,10,4,10,1,0.10740543300000001,0.00142060638764836,0,410,0
218,-0.12006355454879847,10,4,11,1,0.090379372,0.0017441308699974044,0,411,0
219,-0.0659350249203674,10,4,12,1,0.12233482400000001,0.001254245322335773,0,412,0
220,0.019606035054262616,10,1,2,1,0.072781531,0.0021248062579677426,0,12,0
221,0.03762259212351493,10,1,3,1,0.065473015,0.0020900979231373365,0,13,0
222,-0.04012702407704127,10,2,4,1,0.075495016,0.0019487027570298078,0,24,0
223,0.15701289405750884,10,2,5,1,0.072540389,0.0018703510551610401,0,25,0
224,-0.06709205712087352,10,2,6,1,0.078139536,0.0020130732648510857,0,26,0
225,-0.005028250926678801,10,3,7,1,0.086290055,0.0016458074321659398,0,37,0
226,-0.005643556266901051,10,3,8,1,0.096118866,0.0013676788458777695,0,38,0
227,0.05830297740951229,10,3,9,1,0.086391198,0.0016498414412956762,0,39,0
228,-0.005893720039588324,10,1,1,2,0.085507765,0.0016057914706371224,0,11,0
229,-0.012735930115956418,10,4,10,2,0.11353552,0.0013876582814888274,0,410,0
230,0.13911894551591786,10,4,11,2,0.12131716199999999,0.001215806497110688,0,411,0
231,-0.09682179065802221,10,4,12,2,0.22860398,0.0007944373858570088,0,412,0
232,0.15602983654759983,10,1,2,2,0.059648005,0.002199609508077373,0,12,0
233,0.1245454054795454,10,1,3,2,0.06477901900000001,0.0019941408418778523,0,13,0
234,0.1787952417080736,10,2,4,2,0.051511256,0.0024021444733795866,0,24,0
235,0.2695875675197521,10,2,5,2,0.067808619,0.001623006903504292,0,25,0
236,-0.09401836153909704,10,2,6,2,0.081001608,0.0018629919265376986,0,26,0
237,-0.17114742223627855,10,3,7,2,0.12138768400000001,0.0011534804707358124,0,37,0
238,-0.02881492353220949,10,3,8,2,0.083450701,0.0016601404197217975,0,38,0
239,0.03236745222936932,10,3,9,2,0.087706979,0.001613586951612028,0,39,0
240,-0.09793250578603807,11,1,1,1,0.07864956599999999,0.0021394901280971344,0,11,0
241,-0.14183730492955204,11,4,10,1,0.095505526,0.0018730055675428084,0,410,0
242,-0.15198765625323718,11,4,11,1,0.080982274,0.002230708869510817,0,411,0
243,-0.19260117664690357,11,4,12,1,0.11542988900000001,0.001640313448014124,0,412,0
244,-0.1893651121615907,11,1,2,1,0.074115765,0.0026232926052979903,0,12,0
245,-0.17769158957233744,11,1,3,1,0.06781298,0.0025575676725085646,0,13,0
246,-0.19281979883528066,11,2,4,1,0.072741601,0.002509610917512139,0,24,0
247,-0.2049571780008672,11,2,5,1,0.083839074,0.0022358986014617355,0,25,0
248,-0.031425698172412364,11,2,6,1,0.07344138,0.0023544111130215295,0,26,0
249,-0.12099953482219927,11,3,7,1,0.085894431,0.0020202110482735788,0,37,0
250,-0.16487093883806114,11,3,8,1,0.09562967,0.001726436939127162,0,38,0
251,-0.12794039350182906,11,3,9,1,0.091105264,0.0018492191243857333,0,39,0
252,-0.19152339115925043,11,1,1,2,0.08504802300000001,0.0019670946084482275,0,11,0
253,-0.22928669236253496,11,4,10,2,0.112260005,0.0016116172547434079,0,410,0
254,-0.18739985505840995,11,4,11,2,0.13694526699999998,0.001295122511176996,0,411,0
255,-0.2918472779042889,11,4,12,2,0.211979837,0.0009250168986472402,0,412,0
256,-0.11461145565358954,11,1,2,2,0.06902499599999999,0.002398529903294701,0,12,0
257,-0.1705601715694267,11,1,3,2,0.072745861,0.0023704003643410187,0,13,0
258,-0.185090689124757,11,2,4,2,0.060980945,0.0028068597277924982,0,24,0
259,-0.2171627304510415,11,2,5,2,0.086965573,0.0019761027999005837,0,25,0
260,-0.10363592715134917,11,2,6,2,0.074272873,0.0021333380666776177,0,26,0
261,-0.11731687642092314,11,3,7,2,0.104284346,0.0015554409829084432,0,37,0
262,-0.06989424533202326,11,3,8,2,0.081273032,0.001939896540852245,0,38,0
263,-0.1844008554020835,11,3,9,2,0.09033164,0.0018773608607730963,0,39,0
264,-0.09377122094785406,12,1,1,1,0.071839457,0.002398861322445288,0,11,0
265,-0.13818943196894473,12,4,10,1,0.08393617199999999,0.002019166384605627,0,410,0
266,0.02148983182890074,12,4,11,1,0.070367177,0.002250615352932074,0,411,0
267,0.026976038729842777,12,4,12,1,0.097172862,0.001689781760649245,0,412,0
